"","ID","Sex","Race","Age","Range","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","choice","choice_number","global","local","GminusL","LG_group"
"134","blg018","M","Asian",5,"5",16,16,"11.png","3.png","m","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"global",1,12,12,0,"local"
"135","blg018","M","Asian",5,"5",17,17,"11_R.png","3_R.png","z","triangle","triangle",6,"unspaced",0,"triangle","square",3,"square","triangle",4,"global",1,12,12,0,"local"
"136","blg018","M","Asian",5,"5",18,18,"3.png","1.png","z","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"global",1,12,12,0,"local"
"137","blg018","M","Asian",5,"5",19,19,"5_R.png","1_R.png","z","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"global",1,12,12,0,"local"
"138","blg018","M","Asian",5,"5",20,20,"2.png","2.png","m","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"global",1,12,12,0,"local"
"139","blg018","M","Asian",5,"5",21,21,"4_R.png","2_R.png","z","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,12,12,0,"local"
"140","blg018","M","Asian",5,"5",22,22,"1.png","1.png","m","square","square",4,"unspaced",0,"triangle","square",6,"square","triangle",9,"global",1,12,12,0,"local"
"141","blg018","M","Asian",5,"5",23,23,"6.png","2.png","m","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"global",1,12,12,0,"local"
"142","blg018","M","Asian",5,"5",24,24,"10_R.png","4_R.png","z","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"global",1,12,12,0,"local"
"143","blg019","M","Multiracial (white and Asian)",5,"5",1,1,"1_R.png","1_R.png","m","square","square",4,"unspaced",0,"square","triangle",9,"triangle","square",6,"local",0,2,21,-19,"local"
"144","blg019","M","Multiracial (white and Asian)",5,"5",2,2,"2.png","2.png","z","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"local",0,2,21,-19,"local"
"145","blg019","M","Multiracial (white and Asian)",5,"5",3,3,"6_R.png","2_R.png","m","square","triangle",4,"spaced",0,"square","square",9,"triangle","triangle",6,"local",0,2,21,-19,"local"
"146","blg019","M","Multiracial (white and Asian)",5,"5",4,4,"11.png","3.png","z","triangle","triangle",6,"unspaced",0,"square","triangle",4,"triangle","square",3,"local",0,2,21,-19,"local"
"147","blg019","M","Multiracial (white and Asian)",5,"5",5,5,"7.png","1.png","m","triangle","triangle",3,"spaced",0,"triangle","square",6,"square","triangle",9,"local",0,2,21,-19,"local"
"148","blg019","M","Multiracial (white and Asian)",5,"5",6,6,"12.png","4.png","m","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"local",0,2,21,-19,"local"
"149","blg019","M","Multiracial (white and Asian)",5,"5",7,7,"12_R.png","4_R.png","z","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"local",0,2,21,-19,"local"
"150","blg019","M","Multiracial (white and Asian)",5,"5",8,8,"6.png","2.png","z","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"local",0,2,21,-19,"local"
"151","blg019","M","Multiracial (white and Asian)",5,"5",9,9,"4_R.png","2_R.png","z","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"local",0,2,21,-19,"local"
"152","blg019","M","Multiracial (white and Asian)",5,"5",10,10,"3.png","1.png","m","triangle","triangle",3,"unspaced",0,"triangle","square",6,"square","triangle",9,"local",0,2,21,-19,"local"
