"","X","trial_num","image_ID_targets","image_ID_pairs","response_pairs","ID","target_global","target_local","target_number","target_spacing","target_confound","pair_left_global","pair_left_local","pair_left_number","pair_right_global","pair_right_local","pair_right_number","Age","Range","choice","choice_number"
"162",20,20,"12_R.png","4_R.png","m","blg012","triangle","square",6,"unspaced",0,"square","square",4,"triangle","triangle",3,"8","6 to 8","global",1
"163",21,21,"9_R.png","3_R.png","z","blg012","square","square",9,"unspaced",0,"triangle","square",3,"square","triangle",4,"8","6 to 8","local",0
"164",22,22,"4.png","2.png","m","blg012","triangle","square",3,"unspaced",0,"triangle","triangle",6,"square","square",9,"8","6 to 8","local",0
"165",23,23,"9.png","3.png","z","blg012","square","square",9,"unspaced",0,"square","triangle",4,"triangle","square",3,"8","6 to 8","global",1
"166",24,24,"12.png","4.png","z","blg012","triangle","square",6,"unspaced",0,"triangle","triangle",3,"square","square",4,"8","6 to 8","global",1
"167",1,1,"2_R.png","2_R.png","z","blg013","square","triangle",4,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","global",1
"168",2,2,"4_R.png","2_R.png","z","blg013","triangle","square",3,"unspaced",0,"square","square",9,"triangle","triangle",6,"5","5","local",0
"169",3,3,"10_R.png","4_R.png","z","blg013","square","triangle",9,"unspaced",0,"square","square",4,"triangle","triangle",3,"5","5","global",1
"170",4,4,"8.png","2.png","z","blg013","triangle","square",3,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","global",1
"171",5,5,"2.png","2.png","m","blg013","square","triangle",4,"unspaced",0,"triangle","triangle",6,"square","square",9,"5","5","global",1
"172",6,6,"5_R.png","1_R.png","z","blg013","square","square",4,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","global",1
"173",7,7,"7_R.png","1_R.png","z","blg013","triangle","triangle",3,"spaced",0,"square","triangle",9,"triangle","square",6,"5","5","local",0
"174",8,8,"6.png","2.png","m","blg013","square","triangle",4,"spaced",0,"triangle","triangle",6,"square","square",9,"5","5","global",1
